ID	중섭명	한섭명	중섭설명	한섭설명
101	基础攻击训练	기초 공격 훈련		
102	基础防御训练	기초 방어 훈련		
103	综合生存训练	종합 생존 훈련		
104	综合防御训练	종합 방어 훈련		
105	对枪特训	창병 대항 특훈	所有步兵，对枪兵战斗时，攻防提升<color=#DC143C>{P0}</color>。	모든 보병은 창병과 전투 시, 공격, 방어 <color=#DC143C>+{P0}</color>
109	综合攻击训练	종합 공격 훈련		
110	强化生存训练	강화 생존 훈련		
111	强化防御训练	강화 방어 훈련		
118	强化攻击训练	강화 공격 훈련		
119	核心攻击训练	핵심 공격 훈련		
120	核心生存训练	핵심 생존 훈련		
121	核心防御训练	핵심 방어 훈련		
122	压制战法	제압전법	所有步兵，在与生命值百分比等于和低于本部队的敌军交战时，攻防提升<color=#DC143C>{P0}</color>。	모든 보병은 생명 비율이 자신의 부대와 같거나 낮은 적군과 전투 시, 공격, 방어 <color=#DC143C>+{P0}</color>
123	应急处理	응급처치	所有步兵，当生命值百分比高于<color=#DC143C>{P0}</color>时，遭受伤害降低<color=#DC143C>{P1}</color>。	모든 보병은 생명 <color=#DC143C>{P0}</color> 이상일 시, 받는 피해 <color=#DC143C>-{P1}</color>
127	联合攻击训练	연계 공격 훈련		
128	联合防御训练	연계 방어 훈련		
129	联合生存训练	연계 생존 훈련		
130	孤军奋战	고군분투	所有步兵，在周围<color=#DC143C>{P0}</color>格没有其他友军部队时，伤害提升<color=#DC143C>{P1}</color>。	모든 보병은 주위 <color=#DC143C>{P0}</color>칸 내에 아군이 없을 경우, 주는 피해 <color=#DC143C>+{P1}</color>
131	防空重甲	대공 방어	所有步兵，被远程攻击进入战斗时，双防提升<color=#DC143C>{P0}</color>。	모든 보병은 원거리 공격을 받을 시, 전투 중 방어, 마방 <color=#DC143C>+{P0}</color>
134	步兵终极特训	보병 궁극 특훈	所有步兵，全属性提升<color=#DC143C>{P0}</color>。	모든 보병의 모든 속성 <color=#DC143C>+{P0}</color>
201	基础攻击训练	기초 공격 훈련		
202	基础防御训练	기초 방어 훈련		
203	综合生存训练	종합 생존 훈련		
204	综合防御训练	종합 방어 훈련		
205	对骑特训	기병 대항 특훈	所有枪兵，对骑兵战斗时，攻防提升<color=#DC143C>{P0}</color>。	모든 창병은 기병과 전투 시, 공격, 방어 <color=#DC143C>+{P0}</color>
209	综合攻击训练	종합 공격 훈련		
210	强化生存训练	강화 생존 훈련		
211	强化防御训练	강화 방어 훈련		
217	强化攻击训练	강화 공격 훈련		
218	核心攻击训练	핵심 공격 훈련		
219	核心生存训练	핵심 생존 훈련		
220	核心防御训练	핵심 방어 훈련		
221	反击方阵	반격 방진	所有枪兵被攻击时，攻击提升<color=#DC143C>{P0}</color>。	모든 창병은 공격 받을 시, 공격 <color=#DC143C>+{P0}</color>
222	作战续行	작전 속행	所有枪兵，当生命值低于<color=#DC143C>{P0}</color>时，遭受伤害降低<color=#DC143C>{P1}</color>。	모든 창병은 생명이 <color=#DC143C>{P0}</color> 이하일 시, 받는 피해 <color=#DC143C>-{P1}</color>
225	联合攻击训练	연계 공격 훈련		
226	联合防御训练	연계 방어 훈련		
227	联合生存训练	연계 생존 훈련		
228	浴血奋战	최후의 저항	所有枪兵，在与生命百分比等于和高于本部队的敌人交战时，攻击提升<color=#DC143C>{P0}</color>。	모든 창병은 생명이 자신보다 높은 부대와 전투 시, 공격 <color=#DC143C>+{P0}</color>
229	巩固防线	방어선 강화	所有枪兵，在没有“防御增强”效果的地形上战斗时，双防提升<color=#DC143C>{P0}</color>。	모든 창병은 '방어 상승' 효과가 없는 지형에서 전투 시, 방어, 마방 <color=#DC143C>+{P0}</color>
232	枪兵终极特训	창병 궁극 특훈	所有枪兵，全属性提升<color=#DC143C>{P0}</color>。	모든 창병의 모든 속성 <color=#DC143C>+{P0}</color>
301	基础攻击训练	기초 공격 훈련		
302	基础防御训练	기초 방어 훈련		
303	综合生存训练	종합 생존 훈련		
304	综合防御训练	종합 방어 훈련		
305	对步特训	보병 대항 특훈	所有骑兵，对步兵战斗时，攻防提升<color=#DC143C>{P0}</color>。	모든 기병은 보병과 전투 시, 공격, 방어 <color=#DC143C>+{P0}</color>
309	综合攻击训练	종합 공격 훈련		
310	强化生存训练	강화 생존 훈련		
311	强化防御训练	강화 방어 훈련		
317	强化攻击训练	강화 공격 훈련		
318	核心攻击训练	핵심 공격 훈련		
319	核心生存训练	핵심 생존 훈련		
320	核心防御训练	핵심 방어 훈련		
321	集团冲锋	단체 돌격	所有骑兵，在周围<color=#DC143C>{P0}</color>格有其他友军时，攻防提升<color=#DC143C>{P1}</color>。	모든 기병은 주위 <color=#DC143C>{P0}</color>칸 내에 아군이 있을 시, 공격, 방어 <color=#DC143C>+{P1}</color>
322	高速移动	고속이동	所有骑兵，主动攻击进入战斗时遭受伤害降低<color=#DC143C>{P0}</color>。	모든 기병은 공격하여 전투 진입 시, 받는 피해 <color=#DC143C>-{P0}</color>
326	联合攻击训练	연계 공격 훈련		
327	联合防御训练	연계 방어 훈련		
328	联合生存训练	연계 생존 훈련		
329	精钢铁蹄	기병의 의지	所有骑兵，攻击前每移动一格，伤害提升<color=#DC143C>{P0}</color>。（最高<color=#DC143C>{P1}</color>）	모든 기병은 전투 전 1칸 이동할 때마다 주는 피해 <color=#DC143C>+{P0}</color>(최대 <color=#DC143C>+{P1}</color>)
330	奔袭破阵	진형 돌파	所有骑兵，在攻击被“护卫”时，攻防提升<color=#DC143C>{P0}</color>。	모든 기병은 공격이 적의 호위에 막힐 경우, 공격, 방어 <color=#DC143C>+{P0}</color>
334	骑兵终极特训	기병 궁극 특훈	所有骑兵，全属性提升<color=#DC143C>{P0}</color>。	모든 기병의 모든 속성 <color=#DC143C>+{P0}</color>
401	基础攻击训练	기초 공격 훈련		
402	基础防御训练	기초 방어 훈련		
403	综合生存训练	종합 생존 훈련		
404	综合防御训练	종합 방어 훈련		
405	先制打击	선제타격	所有飞兵和水兵，生命大于<color=#DC143C>{P0}</color>时，攻防提升<color=#DC143C>{P1}</color>。	모든 비병과 수병은 생명이 <color=#DC143C>{P0}</color> 이상일 시, 공격, 방어 <color=#DC143C>+{P1}</color>
411	综合攻击训练	종합 공격 훈련		
412	强化生存训练	강화 생존 훈련		
413	强化防御训练	강화 방어 훈련		
420	强化攻击训练	강화 공격 훈련		
421	核心攻击训练	핵심 공격 훈련		
422	核心生存训练	핵심 생존 훈련		
423	核心防御训练	핵심 방어 훈련		
424	空海奇袭	공해기습	所有飞兵和水兵，在攻击<color=#DC143C>{P0}</color>生命值的部队时，攻防提升<color=#DC143C>{P1}</color>。	모든 비병과 수병은 생명이 <color=#DC143C>{P0}</color>인 적 공격 시, 공격, 방어 <color=#DC143C>+{P1}</color>
425	水战强化	수상전 강화	所有水兵，在水中攻击敌军时，造成伤害提升<color=#DC143C>{P0}</color>。	모든 수병은 수중에서 적 공격 시, 주는 피해 <color=#DC143C>+{P0}</color>
426	特技飞行	곡예비행	所有飞兵，在拥有“防御增强”效果的地形上战斗时，遭受伤害降低<color=#DC143C>{P0}</color>。	모든 비병은 '방어 상승' 효과가 있는 지형에서 전투 시, 받는 피해 <color=#DC143C>-{P0}</color>
430	联合攻击训练	연계 공격 훈련		
431	联合防御训练	연계 방어 훈련		
432	联合生存训练	연계 생존 훈련		
433	水灵加护	물의 정령의 가호	所有水兵，在水中被攻击时，攻击、魔防提升<color=#DC143C>{P0}</color>。	모든 수병은 수중에서 공격 받을 시, 공격, 마방 <color=#DC143C>+{P0}</color>
434	地空协同	육·공 연계	所有飞兵，身处于[混合部队]中时，双防提升<color=#DC143C>{P0}</color>。	모든 비병은 [혼합부대]에 소속될 시, 방어, 마방 <color=#DC143C>+{P0}</color>
437	水兵终极特训	수병 궁극 특훈	所有水兵，全属性提升<color=#DC143C>{P0}</color>。	모든 수병의 모든 속성 <color=#DC143C>+{P0}</color>
438	飞兵终极特训	비병 궁극 특훈	所有飞兵，全属性提升<color=#DC143C>{P0}</color>。	모든 비병의 모든 속성 <color=#DC143C>+{P0}</color>
501	基础攻击训练	기초 공격 훈련		
502	基础防御训练	기초 방어 훈련		
